b0a60147fa1981047683e93e55999bfc  - /home/aditeyabaral/1000/pop-os/1018/0106/11.4.0

in    F    L    S   R2   R5   P2   P5:3 E2:5  E4
00    1    1    0    0    0    0    0    0    0
01    1    1    0    0    0    0    0    0    0
02    1    1    0    0    0    0    0    0    0
03    1    1    0    0    0    0    0    0    0
04    1    1    0    0    0    0    0    0    0
05    1    1    0    0    0    0    0    0    0
06    1    1    0    0    0    0    0    0    0
07    1    1    0    0    0    0    0    0    0

SUM   8    8    0    0    0    0    0    0    0 
16 out of 72 correct
